id,name,slug,description,short_description,characteristics,address,area,city,image_url,google_maps_url,instagram_url,price_range,price_min,price_max,opening_hours,is_featured,is_verified,is_published,category_id,created_at,updated_at
21b53861-bf8b-4b42-be1e-55f3e21ec781,Kopi Kita (Fabriek),kopkit-fabriek-bloc,,,[],"Jl. Parupuk Tabing, Parupuk Tabing, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586",Koto Tangah,Padang,https://drive.google.com/file/d/1Ccoc_ocpNJPHQRNa5db1LOCKqgovlVgB/view?usp=drive_link,https://maps.app.goo.gl/YbkbFRPTikiaBRQj9,https://www.instagram.com/kopkit.idn/,Rp20k - Rp47k,20000,47000,Buka 24 Jam,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-17 15:46:31.870543+00,2026-05-18 13:03:50.652246+00
269b05ee-c785-4613-8493-ddc0c48aeb6d,Maison Merjer,maison-merjer,"Maison Merjer hadir dengan tidak hanya sekadar kedai kopi, melainkan destinasi kuliner lengkap yang mengedepankan kualitas bahan premium dan teknik pembuatan yang otentik. Dengan suasana yang lebih hangat dan berkelas, Maison Merjer menjadi pilihan utama bagi mereka yang mencari pengalaman bersantap yang lebih personal dan berkualitas di Padang.
",,"[{""title"":""Atmosfer yang Hangat & Homey"",""description"":""Berbeda dengan konsep industrial saudaranya, Maison Merjer menawarkan desain interior yang lebih lembut dan nyaman. Suasananya sangat cocok untuk sarapan santai, makan siang bisnis, hingga momen hangat bersama keluarga.""},{""title"":""Menu Kitchen yang Terkurasi"",""description"":""Menawarkan pilihan makanan berat (main course) yang dirancang dengan perhatian mendalam pada detail rasa dan presentasi, memberikan pengalaman dining yang lebih serius dibandingkan konsep coffeeshop standar.""},{""title"":""Standar Kualitas Tinggi"",""description"":""Konsistensi yang menjadi ciri khas grup Merjer tetap terjaga di sini, mulai dari pemilihan biji kopi hingga bahan baku dapur, memastikan setiap kunjungan memberikan kepuasan yang setara.""},{""title"":""Integrasi Gaya Hidup"",""description"":""Lokasi ini sering kali menjadi destinasi pilihan bagi mereka yang mengapresiasi seni kuliner dan estetika ruang yang tenang, menjadikannya pelarian sempurna dari kebisingan kota.""}]","Jl. Batang Naras No.2b, Alai Parak Kopi",Padang Utara,Padang,https://drive.google.com/file/d/1uwn1lJ2CZ8FHtV4KLRXeiSum6u0fb8PT/view?usp=drive_link,"https://www.google.com/maps?q=Maison+Merjer,+Jl.+Batang+Naras+No.2b,+Alai+Parak+Kopi,+Padang+Utara,+Padang+City,+West+Sumatra+25173&ftid=0x2fd4b969310f308d:0x9afcc7aa0e76889b&hl=en-ID&gl=id&entry=gps&lucs=s2se&shorturl=1",https://www.instagram.com/maisonmerjer/,Rp25k - Rp66k,25000,66000,08.00 - 22.00,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-12 15:24:04.439988+00,2026-05-15 09:10:43.861155+00
2d170836-d186-465d-bd07-1b4de6ec618f,Kopi Kita (Sutomo),kopkit-sutomo,,,[],"Jl. Dr. Sutomo No.103, Kubu Marapalam, Kec. Padang Tim., Kota Padang, Sumatera Barat 25143",Padang Timur,Padang,https://drive.google.com/file/d/1US0aiK52mdz1RieMP9ysYd60iIhHQAtP/view?usp=drive_link,https://maps.app.goo.gl/2Xrz4CWqSeLkbF5c8,https://www.instagram.com/kopkit.idn/,Rp20k - Rp47k,20000,47000,Buka 24 Jam,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-17 15:52:12.876906+00,2026-05-18 13:20:42.850604+00
3c98e2e1-c4e1-439d-a64a-6832ff002110,Menza Coffee & Barber (Sutomo),menza-coffee-barber,"Menza Barber & Coffee tampil mencolok di kawasan Padang dengan estetika bangunan yang bersih dan modern. Menggabungkan layanan grooming premium dan kedai kopi, tempat ini menawarkan pengalaman yang sangat teratur dalam balutan arsitektur yang minimalis. Sangat cocok bagi mereka yang mencari efisiensi penampilan sekaligus ruang fungsional untuk kebutuhan profesional.",,"[{""title"":""Desain Eksterior & Interior All-White"",""description"":""Bangunan Menza didominasi oleh warna putih bersih yang memberikan kesan luas, modern, dan sangat rapi. Estetika minimalis ini tidak hanya membuatnya terlihat menonjol secara visual di pinggir jalan, tetapi juga menciptakan atmosfer yang tenang dan steril bagi pengunjung.""},{""title"":""Fasilitas Meeting Room yang Privat"",""description"":""Berbeda dengan konsep barber-coffee biasa, Menza menyediakan fasilitas meeting room yang representatif. Ruangan ini menjadi solusi ideal bagi profesional yang membutuhkan ruang privat untuk diskusi bisnis atau rapat kecil di tengah suasana kafe yang nyaman.""},{""title"":""Integrasi Layanan Efisien"",""description"":""Memungkinkan pelanggan untuk melakukan transisi mulus dari sesi grooming profesional ke agenda kerja atau pertemuan formal tanpa harus meninggalkan gedung, menghemat waktu bagi mereka yang memiliki jadwal padat.""},{""title"":""Kualitas Kopi yang Terjaga"",""description"":""Menyajikan berbagai pilihan minuman berbasis espreso dengan kualitas yang terjaga, menjadikannya teman yang pas baik saat menunggu antrean cukur maupun saat sedang rapat.""}]","Jl. Dr. Sutomo No.76 Kel, Kubu Marapalam",Padang Timur,Padang,https://drive.google.com/file/d/1tbC5WlozRTK80bfFiL_pJkqgnVCJ9uhP/view?usp=drive_link,"google.com/maps/place/MENZA+BARBER+%26+COFFEE,+Jl.+Dr.+Sutomo+No.76+Kel,+Kubu+Marapalam,+Kec.+Padang+Tim.,+Kota+Padang,+Sumatera+Barat+25145/data=!4m2!3m1!1s0x2fd4b9148afaa001:0x7b690c60913d96ff?utm_source=mstt_1&entry=gps&g_ep=CAESCTExLjcwLjMwNBgAIIgnKgBCAklE",https://www.instagram.com/menzabarbercoffee/,Rp23k - Rp38k,23000,38000,09.00 - 23.00,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-12 15:31:18.358244+00,2026-05-15 08:54:50.551157+00
49fe4adb-7afb-4df9-8bd1-8a11a17b753c,Kopi Kita (Gunung Pangilun),kopkit-gunung-pangilun,,,[],"Jalan Gajah Mada No.10 Kampung Lapai Baru, Kampung Olo, Nanggalo, Padang City, West Sumatra 25173",Nanggalo,Padang,https://drive.google.com/file/d/1zew9EfN77iLZiw6_S62YvVutglc5iLKC/view?usp=drive_link,https://maps.app.goo.gl/9ad4ut9ZNf9jdBDx8,https://www.instagram.com/kopkit.idn/,Rp20k - Rp47k,20000,47000,Buka 24 Jam,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-17 15:48:29.675674+00,2026-05-18 13:13:18.395948+00
51f421d5-c195-4bbd-a2ca-bd856fe67f1a,Praya Brew,praya-brew,"Hadir dengan nama yang menyiratkan keistimewaan, Praya Brew menawarkan lebih dari sekadar pemenuhan dosis kafein harian. Tempat ini adalah sebuah ruang dedikasi bagi para penikmat kopi yang mengapresiasi proses, rasa, dan suasana. Dengan pendekatan desain yang modern dan berkarakter, Praya Brew meracik harmoni sempurna antara kualitas seduhan yang presisi dan tempat persinggahan yang menenangkan di tengah ritme kota Padang.",,"[{""title"":""Fokus pada Kualitas Seduhan (Premium Brew)"",""description"":""Sesuai dengan namanya, kekuatan utama tempat ini ada pada bar kopinya. Praya Brew mengkurasi biji kopi dengan serius dan mengeksekusinya menjadi deretan menu—mulai dari espresso based hingga manual brew—yang memiliki profil rasa seimbang, menjadikannya destinasi wajib bagi lidah-lidah yang mencari kualitas.""},{""title"":""Estetika Ruang yang Calming"",""description"":""Desain interiornya dirancang untuk tidak berlebihan, mengedepankan estetika minimalis dengan sentuhan warna yang memanjakan mata. Hasilnya adalah visual ruang yang clean, rapi, dan sangat fotogenik tanpa harus kehilangan kesan hangatnya.""},{""title"":""Atmosfer Multifungsi (Produktivitas & Relaksasi)"",""description"":""Tata letak di Praya Brew sangat memahami kebutuhan pelanggannya. Terdapat zonasi yang nyaman bagi mereka yang datang dengan laptop untuk Work From Cafe (WFC), sekaligus area yang lebih rileks untuk sesi mengobrol panjang bersama sirkel pertemanan.""},{""title"":""Hospitality yang Hangat"",""description"":""Barista dan staf di Praya Brew menyajikan pelayanan yang informatif dan ramah, siap merekomendasikan racikan terbaik sesuai dengan preferensi selera lidah Anda pada hari itu.""}]","Jl. Silungkang No.5, Jati Baru, Kec. Padang Tim., Kota Padang, Sumatera Barat 25129",Padang Timur,Padang,https://drive.google.com/file/d/1VILaqdnhGx8jWQ-gFU5DynlPQomh3aB6/view?usp=drive_link,https://maps.app.goo.gl/cLewyo8uSmYau9H98,https://www.instagram.com/praya.brew/,Rp25k - Rp40k,25000,40000,08.00 - 23.30,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-23 15:48:02.468503+00,2026-05-23 16:08:22.199219+00
53bf5a5e-ae75-4bd4-b89a-586854806dec,Musi Coffee Eatery & Expression Space,musi-coffee-eatery-expression-space,"Hadir dengan konsep yang menjanjikan kenyamanan, House of Musi mengubah nuansa sebuah hunian menjadi destinasi kuliner dan ruang bersantai yang menawan. Tempat ini menawarkan sensasi ""pulang ke rumah"" melalui atmosfernya yang hangat, tenang, dan jauh dari kesan kaku komersial. Memadukan estetika klasik sebuah rumah dengan elemen kafe modern, House of Musi menjadi oase bagi mereka yang mencari ketenangan dan keakraban di tengah dinamika kota.",,"[{""title"":""Atmosfer Homey yang Autentik"",""description"":""Daya tarik utama House of Musi adalah suasananya yang sangat membumi. Tata ruangnya dirancang sedemikian rupa agar pengunjung merasa sedang bertamu ke rumah kerabat yang stylish, memberikan rasa nyaman yang membuat siapa saja betah duduk berlama-lama.""},{""title"":""Ruang Zonasi yang Cerdas"",""description"":""Layaknya sebuah rumah, tempat ini memiliki area yang terbagi secara natural—mulai dari ruang komunal indoor yang sejuk untuk berbincang santai atau bekerja, hingga area pekarangan/teras (outdoor) yang asri untuk menikmati udara segar di sore hari.""},{""title"":""Menu Comfort Food & Sajian Kopi"",""description"":""Pendekatan homey ini juga diterjemahkan ke dalam kurasi menunya. Selain menyajikan deretan kopi berkualitas untuk menemani waktu santai, pilihan makanannya berfokus pada comfort food yang menggugah selera dan terasa akrab di lidah.""}]","Jl. Musi No.35, Rimbo Kaluang",Padang Barat,Padang,https://drive.google.com/file/d/1_KUlEfab92CzDU45wy_ZFT-jHwMOUAcx/view?usp=drive_link,"https://www.google.com/maps/place/House+Of+Musi/@-0.9290435,100.3514031,1127m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2fd4b93eb345b0e5:0xa10e382d6a3500cd!8m2!3d-0.9290489!4d100.353978!16s%2Fg%2F11k4x6drtl?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/houseof.musi/,Rp22k - Rp42k,22000,42000,09.00 - 00.00,TRUE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-15 13:06:43.303726+00,2026-05-20 08:06:08.294274+00
59a30ac9-8436-42a3-baf4-dd10899068c3,Toko Kopi Rasa (Sutomo),toko-kopi-rasa-sutomo,"Toko Kopi Rasa Cabang Sutomo hadir sejak Januari 2021 di kawasan yang sangat strategis, menjadi oase bagi para komuter dan warga yang melintasi jalur sibuk Dr. Sutomo. Cabang ini dirancang untuk memenuhi kebutuhan gaya hidup urban yang cepat namun tetap mengapresiasi kualitas rasa. Dengan desain yang fungsional dan modern, tempat ini menjadi pilihan utama bagi mereka yang menginginkan pengalaman minum kopi yang konsisten di tengah mobilitas yang tinggi.",,"[{""title"":""Aksesibilitas Tinggi"",""description"":""Terletak di jalan utama yang menghubungkan berbagai area penting di Padang, menjadikannya lokasi quick stop yang sempurna untuk takeaway sebelum memulai aktivitas.""},{""title"":""Inovasi Menu"",""description"":""Menyajikan seluruh rangkaian menu favorit #TemanRasa, mulai dari Butterscotch Latte hingga varian kopi kaleng \""Segarasa\"" yang siap menemani perjalanan pelanggan.""},{""title"":""Tempat Kolaborasi"",""description"":""Meskipun berada di area yang sibuk, cabang ini tetap menyediakan ruang yang nyaman bagi mahasiswa atau pekerja lepas yang ingin berganti suasana kerja (remote working).""},{""title"":""Dedikasi Barista"",""description"":""Menampilkan budaya pelayanan yang energik dan informatif, di mana barista tidak hanya menyajikan minuman, tetapi juga memastikan setiap pelanggan mendapatkan pengalaman rasa yang optimal.""}]","Jl. Dr. Sutomo No.16, Lubuk Begalung Nan XX",Lubuk Begalung,Padang,https://drive.google.com/file/d/1R99JoZPga3B4UE8WQm0BXxA-ZHRN3wD5/view?usp=drive_link,"https://www.google.com/maps/place/Toko+Kopi+Rasa+Cabang+Sutomo/@-0.9546676,100.3907373,17z/data=!3m1!4b1!4m5!3m4!1s0x2fd4b961996e3a75:0x531c251e56139b49!8m2!3d-0.9546618!4d100.3929291?coh=164777&entry=tt&shorturl=1",https://www.instagram.com/tokokopirasa,Rp16k - Rp35k,16000,35000,10.00 - 23.00,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-12 14:52:00.315536+00,2026-05-17 16:57:31.967625+00
627bd686-aa2e-4a9c-b63f-aa186252a3c6,Canteen,canteen-up,"Canteen menghadirkan pengalaman kopi yang transparan, tempat ini adalah kedai kopi di Kota Padang yang mengusung konsep Open Bar. Terletak strategis di tengah kota, ia menawarkan pelarian yang tenang dari kebisingan urban, di mana setiap cangkir kopi disajikan dengan narasi dan interaksi yang hangat.",,"[{""title"":""Konsep Open Bar"",""description"":""Tata letak bar yang terbuka memungkinkan koneksi langsung antara barista dan konsumen. Pengunjung dapat melihat proses penyeduhan dari jarak dekat, menciptakan atmosfer yang inklusif dan edukatif bagi siapa saja yang ingin mengenal kopi lebih dalam.""},{""title"":""Fasilitas Kerja yang Matang"",""description"":""Dirancang untuk durasi kunjungan yang lama. Meja-meja yang luas bukan sekadar pemanis, melainkan benar-benar disiapkan untuk menampung laptop dan dokumen kerja, lengkap dengan akses stopkontak yang mudah dijangkau di hampir setiap sudut.""},{""title"":""Area Duduk yang Variatif"",""description"":""Memiliki pilihan area yang cukup luas, memungkinkan pelanggan untuk memilih suasana yang diinginkan—baik itu meja formal untuk bekerja maupun area yang lebih santai untuk bercengkerama bersama teman.""}]","Zizi Mart, Jl. Veteran No.23B 2nd Floor, Purus",Padang Barat,Padang,https://drive.google.com/file/d/1O4-1lZCITplSRGkE31moxWBCgp9S59eD/view?usp=drive_link,"https://www.google.com/maps/place/Canteen+-+Coffee,+Cuisine,+and+Chocolatier/@-0.9405864,100.3544847,1127m/data=!3m1!1e3!4m6!3m5!1s0x2fd4b9001c207199:0x6520754fd32b4276!8m2!3d-0.9405838!4d100.3544293!16s%2Fg%2F11vqm_br9s?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/canteen.up/,Rp15k - Rp25k,15000,25000,08.00 - 03.00,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-15 11:17:08.329839+00,2026-05-15 11:17:07.865+00
6aac3ba8-7423-44b6-8842-2a56e5f39044,Kopi Titik,kopi-titik,"Hadir dengan konsep yang sangat unik dan berani beda di tengah riuhnya skena kafe Padang, Kopi Titik adalah pelarian sempurna bagi jiwa-jiwa yang mencari ketenangan absolut. Menyadari bahwa tidak semua orang datang ke kedai kopi untuk bersosialisasi atau berada di tengah keramaian, tempat ini menyediakan fasilitas ikonis berupa ""Ruang Introvert""—sebuah suaka privat yang didedikasikan penuh untuk me-time, fokus mendalam, atau sekadar menyepi dari bisingnya dunia luar tanpa merasa canggung.",,"[{""title"":""Fasilitas Eksklusif \""Ruang Introvert\"""",""description"":""Ini adalah Unique Selling Proposition (USP) paling kuat dari Kopi Titik. Area ini didesain khusus dengan batasan privasi yang jelas, meminimalkan distraksi visual maupun suara. Pengunjung bisa duduk sendiri dengan tenang, menikmati kesendirian yang dihormati sepenuhnya oleh lingkungan sekitar.""},{""title"":""Desain Ruang yang Menenangkan"",""description"":""Penataan interior dan pencahayaannya dibuat sangat subtle, hangat, dan tidak berlebihan (overstimulating). Nuansa ruangannya dirancang untuk menurunkan tempo dan merelaksasi pikiran pengunjung sejak langkah pertama masuk.""},{""title"":""Surga untuk Deep Work & Produktivitas"",""description"":""Atmosfernya yang hening menjadikan Kopi Titik salah satu destinasi WFC (Work From Cafe) paling ideal di kota ini. Sangat cocok bagi pekerja lepas, mahasiswa yang sedang menyusun tugas akhir, atau siapa pun yang membutuhkan konsentrasi tingkat tinggi.""},{""title"":""Sajian \""Teman Menyendiri\"" yang Pas"",""description"":""Menawarkan deretan menu minuman dan camilan yang dikurasi khusus untuk menemani waktu diam yang panjang. Racikan kopinya konsisten dan disajikan untuk melengkapi ketenangan momen personal Anda.""}]","Jl. Bougenville Jl. Flamboyan No.17, Flamboyan Baru, Kec. Padang Bar., Kota Padang, Sumatera Barat",Padang Barat,Padang,https://drive.google.com/file/d/1EBjqePzs-abq574F7dwwwff15TbR8EXe/view?usp=drive_link,https://maps.app.goo.gl/DkV6qhZRqXVT6Pgx6,https://www.instagram.com/kopititikk/,Rp13k - Rp25k,13000,25000,10.00 - 23.59,FALSE,FALSE,TRUE,3fff9d59-eb4d-4d58-a3fd-0b94ee412ee5,2026-05-17 16:26:13.690397+00,2026-05-18 16:15:01.860884+00
